job_id,job_size,fcfs_completions,rmlf_completions,fcfs_percentage,rmlf_percentage
286,22.0,16,6,72.7,27.3
287,39.0,33,6,84.6,15.4
288,26.0,20,6,76.9,23.1
289,31.0,25,6,80.6,19.4
290,18.0,12,6,66.7,33.3
291,18.0,12,6,66.7,33.3
292,43.0,37,6,86.0,14.0
293,18.0,12,6,66.7,33.3
294,20.0,14,6,70.0,30.0
295,23.0,17,6,73.9,26.1
296,44.0,38,6,86.4,13.6
297,19.0,13,6,68.4,31.6
298,23.0,17,6,73.9,26.1
299,24.0,18,6,75.0,25.0
300,45.0,39,6,86.7,13.3
301,20.0,14,6,70.0,30.0
302,28.0,22,6,78.6,21.4
303,17.0,11,6,64.7,35.3
304,39.0,33,6,84.6,15.4
305,21.0,15,6,71.4,28.6
306,17.0,11,6,64.7,35.3
307,36.0,30,6,83.3,16.7
308,33.0,27,6,81.8,18.2
309,21.0,15,6,71.4,28.6
310,17.0,11,6,64.7,35.3
311,29.0,23,6,79.3,20.7
312,27.0,21,6,77.8,22.2
313,29.0,23,6,79.3,20.7
314,21.0,15,6,71.4,28.6
315,54.0,48,6,88.9,11.1
316,40.0,34,6,85.0,15.0
317,29.0,23,6,79.3,20.7
318,17.0,11,6,64.7,35.3
319,20.0,14,6,70.0,30.0
320,26.0,20,6,76.9,23.1
321,21.0,15,6,71.4,28.6
322,17.0,11,6,64.7,35.3
323,21.0,15,6,71.4,28.6
324,42.0,36,6,85.7,14.3
325,25.0,19,6,76.0,24.0
326,30.0,24,6,80.0,20.0
327,22.0,16,6,72.7,27.3
328,22.0,16,6,72.7,27.3
329,28.0,22,6,78.6,21.4
330,23.0,17,6,73.9,26.1
331,20.0,14,6,70.0,30.0
332,37.0,31,6,83.8,16.2
333,42.0,36,6,85.7,14.3
334,19.0,13,6,68.4,31.6
335,17.0,11,6,64.7,35.3
336,29.0,23,6,79.3,20.7
337,31.0,25,6,80.6,19.4
338,28.0,22,6,78.6,21.4
339,36.0,30,6,83.3,16.7
340,25.0,19,6,76.0,24.0
341,20.0,14,6,70.0,30.0
342,22.0,16,6,72.7,27.3
343,27.0,21,6,77.8,22.2
344,20.0,14,6,70.0,30.0
345,21.0,15,6,71.4,28.6
346,30.0,24,6,80.0,20.0
347,52.0,46,6,88.5,11.5
348,17.0,11,6,64.7,35.3
349,34.0,28,6,82.4,17.6
350,33.0,27,6,81.8,18.2
351,20.0,14,6,70.0,30.0
352,33.0,27,6,81.8,18.2
353,60.0,54,6,90.0,10.0
354,26.0,20,6,76.9,23.1
355,34.0,28,6,82.4,17.6
356,54.0,48,6,88.9,11.1
357,32.0,26,6,81.2,18.8
358,41.0,35,6,85.4,14.6
359,47.0,41,6,87.2,12.8
