L,H,bp_parms,arrival_rate,arithmetic,value
7.918,512.0,L7.918/H512,0.026,SETF/SRPT,1.3266061645756817
5.649,4096.0,L5.649/H4096,0.026,SETF/SRPT,1.285617059205982
4.073,262144.0,L4.073/H262144,0.026,SETF/SRPT,1.1917495244966831
16.772,64.0,L16.772/H64,0.025,SETF/SRPT,1.2864972681921618
7.918,512.0,L7.918/H512,0.025,SETF/SRPT,1.2758812519765004
5.649,4096.0,L5.649/H4096,0.025,SETF/SRPT,1.2140969696363024
4.073,262144.0,L4.073/H262144,0.025,SETF/SRPT,1.140805054335735
16.772,64.0,L16.772/H64,0.05,FCFS/SRPT,1.7493671562208468
7.918,512.0,L7.918/H512,0.05,FCFS/SRPT,8.91118350702677
5.649,4096.0,L5.649/H4096,0.05,FCFS/SRPT,41.30730362061769
4.073,262144.0,L4.073/H262144,0.05,FCFS/SRPT,208.70818574861363
16.772,64.0,L16.772/H64,0.04545,FCFS/SRPT,1.816911604753913
7.918,512.0,L7.918/H512,0.04545,FCFS/SRPT,10.687766889389872
5.649,4096.0,L5.649/H4096,0.04545,FCFS/SRPT,56.84473603631372
4.073,262144.0,L4.073/H262144,0.04545,FCFS/SRPT,445.2556150010975
16.772,64.0,L16.772/H64,0.0416,FCFS/SRPT,1.906552967071234
7.918,512.0,L7.918/H512,0.0416,FCFS/SRPT,12.8507884804592
5.649,4096.0,L5.649/H4096,0.0416,FCFS/SRPT,82.7427057090009
4.073,262144.0,L4.073/H262144,0.0416,FCFS/SRPT,606.450099673089
16.772,64.0,L16.772/H64,0.0385,FCFS/SRPT,1.988655501104692
7.918,512.0,L7.918/H512,0.0385,FCFS/SRPT,15.561833140185117
5.649,4096.0,L5.649/H4096,0.0385,FCFS/SRPT,102.7300373051888
4.073,262144.0,L4.073/H262144,0.0385,FCFS/SRPT,757.0535764140479
16.772,64.0,L16.772/H64,0.036,FCFS/SRPT,2.071257741474301
7.918,512.0,L7.918/H512,0.036,FCFS/SRPT,14.596225175041097
5.649,4096.0,L5.649/H4096,0.036,FCFS/SRPT,69.06778083847274
4.073,262144.0,L4.073/H262144,0.036,FCFS/SRPT,574.0139661476456
16.772,64.0,L16.772/H64,0.033,FCFS/SRPT,1.5765790725257665
7.918,512.0,L7.918/H512,0.033,FCFS/SRPT,5.879707910387564
5.649,4096.0,L5.649/H4096,0.033,FCFS/SRPT,29.193915907003355
4.073,262144.0,L4.073/H262144,0.033,FCFS/SRPT,376.9659244545476
16.772,64.0,L16.772/H64,0.03123,FCFS/SRPT,1.2075091912800084
7.918,512.0,L7.918/H512,0.03123,FCFS/SRPT,4.356340923187838
5.649,4096.0,L5.649/H4096,0.03123,FCFS/SRPT,23.11411225955286
4.073,262144.0,L4.073/H262144,0.03123,FCFS/SRPT,446.470117943706
16.772,64.0,L16.772/H64,0.029,FCFS/SRPT,1.0733359629053243
7.918,512.0,L7.918/H512,0.029,FCFS/SRPT,3.545150065470525
5.649,4096.0,L5.649/H4096,0.029,FCFS/SRPT,15.16691950872905
4.073,262144.0,L4.073/H262144,0.029,FCFS/SRPT,245.2072746865136
16.772,64.0,L16.772/H64,0.028,FCFS/SRPT,1.0505210314463602
7.918,512.0,L7.918/H512,0.028,FCFS/SRPT,3.095482471112988
5.649,4096.0,L5.649/H4096,0.028,FCFS/SRPT,14.245719814736088
4.073,262144.0,L4.073/H262144,0.028,FCFS/SRPT,152.3438623550696
16.772,64.0,L16.772/H64,0.026,FCFS/SRPT,1.0221552594697223
7.918,512.0,L7.918/H512,0.026,FCFS/SRPT,2.793790120820328
5.649,4096.0,L5.649/H4096,0.026,FCFS/SRPT,14.293661343214874
4.073,262144.0,L4.073/H262144,0.026,FCFS/SRPT,420.0792158069467
16.772,64.0,L16.772/H64,0.025,FCFS/SRPT,1.0144611115443063
7.918,512.0,L7.918/H512,0.025,FCFS/SRPT,2.67165336549956
5.649,4096.0,L5.649/H4096,0.025,FCFS/SRPT,11.00318773659262
4.073,262144.0,L4.073/H262144,0.025,FCFS/SRPT,66.89335615707682
16.772,64.0,L16.772/H64,0.05,RMLFQ/SRPT,3.056667966689787
7.918,512.0,L7.918/H512,0.05,RMLFQ/SRPT,5.676040236870787
5.649,4096.0,L5.649/H4096,0.05,RMLFQ/SRPT,12.35859942042677
4.073,262144.0,L4.073/H262144,0.05,RMLFQ/SRPT,36.01708157756088
16.772,64.0,L16.772/H64,0.04545,RMLFQ/SRPT,3.588020991924716
7.918,512.0,L7.918/H512,0.04545,RMLFQ/SRPT,6.708890125199789
5.649,4096.0,L5.649/H4096,0.04545,RMLFQ/SRPT,16.975917323130364
4.073,262144.0,L4.073/H262144,0.04545,RMLFQ/SRPT,60.82990643115204
16.772,64.0,L16.772/H64,0.0416,RMLFQ/SRPT,3.934116517608482
7.918,512.0,L7.918/H512,0.0416,RMLFQ/SRPT,7.980525033435201
5.649,4096.0,L5.649/H4096,0.0416,RMLFQ/SRPT,24.936529353417686
4.073,262144.0,L4.073/H262144,0.0416,RMLFQ/SRPT,109.63451887627066
16.772,64.0,L16.772/H64,0.0385,RMLFQ/SRPT,4.123908468001662
7.918,512.0,L7.918/H512,0.0385,RMLFQ/SRPT,9.6468660323306
5.649,4096.0,L5.649/H4096,0.0385,RMLFQ/SRPT,30.77775648399357
4.073,262144.0,L4.073/H262144,0.0385,RMLFQ/SRPT,110.0862329636053
16.772,64.0,L16.772/H64,0.036,RMLFQ/SRPT,4.293395121033964
7.918,512.0,L7.918/H512,0.036,RMLFQ/SRPT,9.855698067192828
5.649,4096.0,L5.649/H4096,0.036,RMLFQ/SRPT,23.389103876977885
4.073,262144.0,L4.073/H262144,0.036,RMLFQ/SRPT,87.10724107869865
16.772,64.0,L16.772/H64,0.033,RMLFQ/SRPT,2.397097811583266
7.918,512.0,L7.918/H512,0.033,RMLFQ/SRPT,4.557127241952276
5.649,4096.0,L5.649/H4096,0.033,RMLFQ/SRPT,11.530612925163764
4.073,262144.0,L4.073/H262144,0.033,RMLFQ/SRPT,70.54204103706127
16.772,64.0,L16.772/H64,0.03123,RMLFQ/SRPT,1.5022430023642483
7.918,512.0,L7.918/H512,0.03123,RMLFQ/SRPT,3.56671719372751
5.649,4096.0,L5.649/H4096,0.03123,RMLFQ/SRPT,9.762745882352563
4.073,262144.0,L4.073/H262144,0.03123,RMLFQ/SRPT,85.13251200972535
16.772,64.0,L16.772/H64,0.029,RMLFQ/SRPT,1.1798827116436486
7.918,512.0,L7.918/H512,0.029,RMLFQ/SRPT,2.948086369419116
5.649,4096.0,L5.649/H4096,0.029,RMLFQ/SRPT,7.256533254090447
4.073,262144.0,L4.073/H262144,0.029,RMLFQ/SRPT,59.79849026444915
16.772,64.0,L16.772/H64,0.028,RMLFQ/SRPT,1.1252243121249892
7.918,512.0,L7.918/H512,0.028,RMLFQ/SRPT,2.6370661097232784
5.649,4096.0,L5.649/H4096,0.028,RMLFQ/SRPT,6.661598709785327
4.073,262144.0,L4.073/H262144,0.028,RMLFQ/SRPT,43.588400751742284
16.772,64.0,L16.772/H64,0.026,RMLFQ/SRPT,1.054269087908987
7.918,512.0,L7.918/H512,0.026,RMLFQ/SRPT,2.4024162179923243
5.649,4096.0,L5.649/H4096,0.026,RMLFQ/SRPT,6.444420643723922
4.073,262144.0,L4.073/H262144,0.026,RMLFQ/SRPT,84.03448063262447
16.772,64.0,L16.772/H64,0.025,RMLFQ/SRPT,1.03499922322492
7.918,512.0,L7.918/H512,0.025,RMLFQ/SRPT,2.303030720007627
5.649,4096.0,L5.649/H4096,0.025,RMLFQ/SRPT,5.585839490133747
4.073,262144.0,L4.073/H262144,0.025,RMLFQ/SRPT,25.200013501091792
