arrival_time,first_executed_time,job_size
30419,35409,8
30444,35417,8
30469,35425,46
30494,35471,42
30519,35513,10
30544,35523,13
30568,35536,10
30595,35546,15
30628,35561,25
30654,35586,13
30683,35599,10
30694,35609,8
30720,35617,11
30742,35628,9
30766,35637,8
30793,35645,24
30818,35669,15
30841,35684,10
30860,35694,8
30882,35702,19
30900,35721,9
30932,35730,13
30961,35743,10
30984,35753,36
31008,35789,10
31039,35799,8
31057,35807,18
31077,35825,8
31111,35833,175
31136,36008,49
31160,36057,49
31179,36106,34
31201,36140,24
31231,36164,36
31255,36200,11
31270,36211,15
31297,36226,63
31326,36289,8
31360,36297,18
31392,36315,39
31423,36354,8
31448,36362,10
31474,36372,8
31497,36380,11
31518,36391,13
31541,36404,142
31563,36546,8
31582,36554,22
31601,36576,27
31625,36603,8
31640,36611,9
31660,36620,26
31678,36646,9
31716,36655,14
31741,36669,14
31767,36683,9
31792,36692,8
31813,36700,91
31836,36791,9
31871,36800,12
31897,36812,70
31916,36882,104
31941,36986,40
31966,37026,8
31991,37034,27
32023,37061,308
32043,37369,8
32077,37377,19
32110,37396,8
32139,37404,60
32165,37464,25
32186,37489,79
32209,37568,15
32232,37583,39
32255,37622,15
32282,37637,35
32310,37672,11
32323,37683,9
32357,37692,37
32385,37729,9
32403,37738,17
32426,37755,24
32456,37779,9
32479,37788,13
32506,37801,8
32527,37809,127
32557,37936,12
32582,37948,130
32602,38078,175
32627,38253,24
32651,38277,9
32667,38286,19
32684,38305,8
32705,38313,344
32728,38657,44
32761,38701,11
32787,38712,10
32807,38722,15
32834,38737,26
32855,38763,19
32876,38782,30
32901,38812,45
32931,38857,9
32952,38866,20
32985,38886,13
33004,38899,9
33023,38908,63
33052,38971,10
33078,38981,8
33115,38989,18
33143,39007,39
33169,39046,10
33187,39056,9
33213,39065,12
33232,39077,22
33257,39099,11
33288,39110,9
33307,39119,14
33332,39133,9
33351,39142,110
33376,39252,8
33394,39260,93
33428,39353,32
33446,39385,14
33470,39399,16
33496,39415,15
33526,39430,19
33548,39449,15
33576,39464,28
33610,39492,12
33636,39504,19
33662,39523,14
33684,39537,206
33709,39743,8
33731,39751,12
33763,39763,169
33786,39932,12
33812,39944,9
33841,39953,28
33864,39981,11
33895,39992,9
33921,40001,12
33956,40013,10
33978,40023,18
34005,40041,10
34035,40051,24
34060,40075,8
34086,40083,39
34112,40122,68
34133,40190,61
34162,40251,56
34187,40307,38
34215,40345,9
34239,40354,12
34265,40366,8
34296,40374,10
34312,40384,9
34338,40393,16
34364,40409,40
34393,40449,15
34422,40464,8
34452,40472,14
34478,40486,13
34506,40499,14
34533,40513,8
34552,40521,21
34577,40542,13
34600,40555,20
34631,40575,10
34650,40585,12
34679,40597,14
34705,40611,8
34725,40619,19
34757,40638,11
34785,40649,14
34810,40663,68
34827,40731,9
34851,40740,272
34884,41012,11
34911,41023,26
34936,41049,26
34967,41075,253
34989,41328,10
35014,41338,22
35042,41360,15
35060,41375,8
35090,41383,9
35113,41392,11
35140,41403,8
35161,41411,21
35188,41432,77
35205,41509,22
35235,41531,10
35249,41541,11
35267,41552,13
35293,41565,12
35319,41577,24
35341,41601,62
35367,41663,44
35395,41707,19
35417,41726,15
35437,41741,17
35463,41758,10
35483,41768,137
35508,41905,19
35529,41924,30
35553,41954,12
35581,41966,19
35609,41985,10
35629,41995,76
35659,42071,139
35684,42210,9
35714,42219,10
35743,42229,13
35773,42242,8
35800,42250,8
35817,42258,27
35838,42285,14
35860,42299,16
35883,42315,9
35905,42324,18
35922,42342,10
35943,42352,8
35970,42360,10
35990,42370,25
36018,42395,9
36037,42404,8
36062,42412,15
36086,42427,8
36108,42435,10
36120,42445,21
36141,42466,10
36165,42476,14
36188,42490,29
36211,42519,27
36235,42546,13
36261,42559,11
36279,42570,13
36299,42583,35
36327,42618,10
36349,42628,13
36375,42641,14
36396,42655,10
36422,42665,35
36440,42700,15
36469,42715,13
36490,42728,51
36512,42779,17
36533,42796,12
36564,42808,35
36583,42843,9
36613,42852,10
36629,42862,16
36648,42878,21
36669,42899,9
36687,42908,13
36707,42921,18
36722,42939,75
36752,43014,14
36770,43028,14
36793,43042,16
36817,43058,273
36847,43331,8
36875,43339,9
36895,43348,11
36931,43359,207
36955,43566,12
36978,43578,10
36996,43588,18
37018,43606,9
37043,43615,54
37067,43669,14
37092,43683,12
37119,43695,11
37134,43706,10
37158,43716,16
37180,43732,134
37203,43866,17
37224,43883,14
37250,43897,15
37267,43912,108
37286,44020,9
37303,44029,11
37327,44040,94
37348,44134,34
37370,44168,16
37387,44184,11
37413,44195,10
37441,44205,16
37471,44221,24
37493,44245,75
37521,44320,47
37545,44367,46
37567,44413,16
37595,44429,10
37620,44439,39
37638,44478,11
37669,44489,97
37691,44586,11
37730,44597,65
37744,44662,10
37769,44672,8
37785,44680,10
37807,44690,8
37839,44698,13
37858,44711,75
37889,44786,26
37907,44812,14
37925,44826,14
37944,44840,9
37971,44849,66
37995,44915,8
38019,44923,10
38043,44933,27
38069,44960,14
38088,44974,11
38111,44985,9
38134,44994,23
38160,45017,18
38179,45035,75
38207,45110,11
38237,45121,11
38258,45132,12
38286,45144,26
38305,45170,13
38327,45183,9
38359,45192,8
38390,45200,8
38414,45208,10
38444,45218,15
38461,45233,17
38484,45250,10
38509,45260,8
38537,45268,47
38569,45315,9
38595,45324,21
38615,45345,12
38641,45357,8
38669,45365,54
38683,45419,38
38717,45457,14
38741,45471,9
38768,45480,20
38799,45500,8
38825,45508,28
38850,45536,11
38869,45547,8
38896,45555,28
38925,45583,12
38945,45595,18
38975,45613,12
39007,45625,8
39029,45633,8
39059,45641,18
39080,45659,11
39100,45670,11
39122,45681,11
39157,45692,8
39180,45700,11
39207,45711,9
39230,45720,9
39252,45729,8
39272,45737,18
39291,45755,68
39317,45823,16
39347,45839,19
39377,45858,60
39404,45918,14
39439,45932,8
39466,45940,11
39490,45951,29
39523,45980,36
39549,46016,35
39582,46051,12
39600,46063,16
39626,46079,8
39643,46087,38
39677,46125,39
39704,46164,43
39731,46207,9
39760,46216,16
39794,46232,9
39813,46241,9
39838,46250,19
39864,46269,20
39889,46289,58
39911,46347,163
39935,46510,8
39959,46518,9
39977,46527,59
39997,46586,10
40029,46596,17
40055,46613,18
40073,46631,27
40093,46658,9
40116,46667,10
40136,46677,17
40162,46694,26
40176,46720,14
40200,46734,31
40229,46765,9
40263,46774,8
40295,46782,9
40326,46791,9
40352,46800,49
40386,46849,9
40409,46858,8
40446,46866,12
40466,46878,28
40494,46906,28
40521,46934,16
40548,46950,8
40575,46958,154
40599,47112,8
40627,47120,13
40649,47133,9
40678,47142,26
40695,47168,9
40716,47177,10
40739,47187,24
40767,47211,11
40787,47222,18
40811,47240,48
40841,47288,22
40865,47310,9
40886,47319,8
40916,47327,9
40936,47336,12
40954,47348,9
40975,47357,53
40994,47410,11
41011,47421,28
41034,47449,9
41068,47458,9
41081,47467,10
41101,47477,13
41134,47490,9
41159,47499,13
41186,47512,27
41200,47539,22
41221,47561,9
41241,47570,40
41265,47610,15
41287,47625,10
41309,47635,8
41332,47643,26
41356,47669,8
41372,47677,47
41384,47724,27
41400,47751,10
41422,47761,13
41450,47774,8
41475,47782,8
41495,47790,8
41514,47798,16
41535,47814,12
41558,47826,13
41581,47839,18
41607,47857,151
41625,48008,9
41647,48017,26
41660,48043,12
41677,48055,10
41693,48065,24
41714,48089,109
41743,48198,8
41763,48206,10
41790,48216,15
41818,48231,10
41838,48241,18
41854,48259,9
41877,48268,8
41899,48276,19
41923,48295,26
41955,48321,20
41979,48341,9
42008,48350,11
42025,48361,38
42054,48399,13
42077,48412,81
42102,48493,11
42133,48504,8
42156,48512,20
42179,48532,12
42200,48544,61
