arrival_rate,bp_parameter,FCFS_Avg_Flow_Time,SRPT_Avg_Flow_Time,FCFS_L2_Norm,SRPT_L2_Norm,Dynamic_Avg_Flow_Time,Dynamic_L2_Norm,Dynamic_L2_Norm_vs_FCFS,Dynamic_L2_Norm_vs_SRPT
32,"{'L': 4.073, 'H': 262144}",110.17703871070553,42.15913157527272,1156.711273365418,648.9946708915414,42.15913157527272,648.9946708915414,0.6520191796162389,1.0
32,"{'L': 4.639, 'H': 32768}",53.685133135850464,33.33764618977714,373.88550099863136,318.54564300132466,33.33764618977714,318.54564300132466,0.856143177349816,1.0
32,"{'L': 5.649, 'H': 4096}",93.48767162157507,33.579276446040105,832.3436380692045,528.8609830790737,33.579276446040105,528.8609830790737,0.6790176327869782,1.0
32,"{'L': 7.918, 'H': 512}",19.976977064248228,16.10896061757032,150.6938685115588,131.66263941270194,16.10896061757032,131.66263941270194,0.8839299007995486,1.0
32,"{'L': 16.772, 'H': 64}",139.59047741171605,101.24961515923276,920.0319197731411,975.1200640517224,109.16054792474809,940.6553868692114,1.003913459142164,0.9786503661662945
34,"{'L': 4.073, 'H': 262144}",98.03217507214902,38.90519329206279,980.2154187559863,589.3838568308375,38.90519329206279,589.3838568308375,0.7561227609056274,1.0
34,"{'L': 4.639, 'H': 32768}",26.232694558292803,20.044340303643487,254.36315080245046,201.81367512404486,20.044340303643487,201.81367512404486,0.8921779454536246,1.0
34,"{'L': 5.649, 'H': 4096}",46.625810459500826,18.15305825807697,556.6018745613072,328.9830001265387,18.15305825807697,328.9830001265387,0.694771023804493,1.0
34,"{'L': 7.918, 'H': 512}",217.42772192112548,46.01577622884323,2075.115107375676,989.5144018560339,46.01577622884323,989.5144018560339,0.5338022572219437,1.0
34,"{'L': 16.772, 'H': 64}",121.86454057543763,94.8381152424692,933.4079441947728,1070.0187053923432,103.91724507302236,1001.4256622911538,1.0418178847371011,0.9656823236309732
36,"{'L': 4.073, 'H': 262144}",32.75623240802243,24.534684288884847,288.13303411343423,244.62554076158654,24.534684288884847,244.62554076158654,0.8925401996531251,1.0
36,"{'L': 4.639, 'H': 32768}",841.2774521264881,73.37992791039972,8461.84076213184,2323.4465329475843,73.37992791039972,2323.4465329475843,0.5031508594565924,1.0
36,"{'L': 5.649, 'H': 4096}",22.634272797242534,16.991280727462634,183.8740375318256,162.0487568744014,16.991280727462634,162.0487568744014,0.878217141503271,1.0
36,"{'L': 7.918, 'H': 512}",178.1912499777875,42.29348585620122,1568.1391780539718,771.5231056797178,42.29348585620122,771.5231056797178,0.6059734608335935,1.0
36,"{'L': 16.772, 'H': 64}",67.56860857302333,57.8347672581914,468.18603890833646,481.79108210405815,61.68085458227403,473.6595871753441,1.0037367219317428,0.987348527382898
38,"{'L': 4.073, 'H': 262144}",30.58124092420123,23.432376953121707,249.1028690562606,231.02616838735239,23.432376953121707,231.02616838735239,0.9199704392808585,1.0
38,"{'L': 4.639, 'H': 32768}",21.415963976054144,16.687706719701122,186.17901532068626,150.94219275411965,16.687706719701122,150.94219275411965,0.8823058828234284,1.0
38,"{'L': 5.649, 'H': 4096}",50.17476322069185,23.61644655678455,422.7613736718513,284.3536255895072,23.61644655678455,284.3536255895072,0.7443495756361633,1.0
38,"{'L': 7.918, 'H': 512}",34.54405462363403,18.146021254501616,281.9999537069218,213.24168210594385,18.146021254501616,213.24168210594385,0.7516351771251313,1.0
38,"{'L': 16.772, 'H': 64}",55.48794477857839,49.45090871421471,363.7343991904386,380.3127379823781,52.46942674639655,372.0235685864083,1.0271737811629373,0.9746245440616211
40,"{'L': 4.073, 'H': 262144}",74.31234524144664,33.42007275488482,724.0269256423088,478.8460736802618,33.42007275488482,478.8460736802618,0.6775792480573256,1.0
40,"{'L': 4.639, 'H': 32768}",26.56696599251204,16.37402794597762,315.3277311496612,234.02578627486469,16.37402794597762,234.02578627486469,0.8419885350373523,1.0
40,"{'L': 5.649, 'H': 4096}",17.272582120500516,13.596710645288391,147.31000414307528,125.48503661548494,13.596710645288391,125.48503661548494,0.8768197089563441,1.0
40,"{'L': 7.918, 'H': 512}",18.134052725765073,15.547253270372748,146.02665219127584,138.7326505833431,15.547253270372748,138.7326505833431,0.9558255608172425,1.0
40,"{'L': 16.772, 'H': 64}",81.09732460284802,62.73313624393236,553.3486527792783,610.0384106297436,70.2897933163,576.3515757640627,1.0137662225690145,0.9562191079390449
